"PF00141","1hsr","All alpha proteins","Hemedependent peroxidases","Hemedependent peroxidases","CCPlike"
"PF00142","1nip","Alpha and beta proteins (a/b)","Ploop containing nucleoside triphosphate hydrolases","Ploop containing nucleoside triphosphate hydrolases","Nitrogenase iron proteinlike"
"PF00143","1au1","All alpha proteins","4-helical cytokines","4-helical cytokines","Interferons/interleukin-10 (IL-10)"
"PF00144","1blp","Multidomain proteins (alpha and beta)","betalactamase/transpeptidaselike","betalactamase/transpeptidaselike","betaLactamase/Dala carboxypeptidase"
"PF00145","1hmy","Alpha and beta proteins (a/b)","SadenosylLmethioninedependent methyltransferases","SadenosylLmethioninedependent methyltransferases","C cytosinespecific DNA methylase DCM"
"PF00146","1mhc","All beta proteins","Immunoglobulin-like beta-sandwich","Immunoglobulin","C1 set domains (antibody constant domain-like)"
"PF00147","1fza","Alpha and beta proteins (a+b)","Fibrinogen Cterminal domainlike","Fibrinogen Cterminal domainlike","Fibrinogen Cterminal domainlike"
"PF00149","1fjm","Alpha and beta proteins (a+b)","Metallodependent phosphatases","Metallodependent phosphatases","Protein serine/threonine phosphatase"
"PF00150","2exo","Alpha and beta proteins (a/b)","TIM beta/alphabarrel","(Trans)glycosidases","betaglycanases"
"PF00151","1lpa","Alpha and beta proteins (a/b)","alpha/betaHydrolases","alpha/betaHydrolases","Pancreatic lipase Nterminal domain"
"PF00152","1asy","Alpha and beta proteins (a+b)","Class II aaRS and biotin synthetases","Class II aaRS and biotin synthetases","Class II aminoacyltRNA synthetase (aaRS)like catalytic domain"
"PF00154","2reb","Alpha and beta proteins (a/b)","Ploop containing nucleoside triphosphate hydrolases","Ploop containing nucleoside triphosphate hydrolases","RecA proteinlike (ATPasedomain)"
"PF00155","1art","Alpha and beta proteins (a/b)","PLPdependent transferaselike","PLPdependent transferases","AATlike"
"PF00156","1sto","Alpha and beta proteins (a/b)","PRTaselike","PRTaselike","Phosphoribosyltransferases (PRTases)"
"PF00157","1oct","All alpha proteins","DNA/RNA-binding 3-helical bundle","Homeodomain-like","Homeodomain"
"PF00158","1l5z","Alpha and beta proteins (a/b)","Flavodoxinlike","CheYlike","CheYrelated"
"PF00161","1paf","Alpha and beta proteins (a+b)","Ribosome inactivating proteins (RIP)","Ribosome inactivating proteins (RIP)","Plant cytotoxins"
"PF00163","1c06","Alpha and beta proteins (a+b)","AlphaL RNAbinding motif","AlphaL RNAbinding motif","Ribosomal protein S"
"PF00164","1fjg","Alpha and beta proteins (a/b)","Flavodoxinlike","Ribosomal protein S","Ribosomal protein S"
"PF00165","1bl0","All alpha proteins","DNA/RNA-binding 3-helical bundle","Homeodomain-like","AraC type transcriptional activator"
"PF00166","1lep","All beta proteins","GroESlike","GroESlike","GroES"
"PF00168","1qas","All alpha proteins","EF Hand-like","EF-hand","EF-hand modules in multidomain proteins"
"PF00169","1dyn","All beta proteins","PH domainlike barrel","PH domainlike","Pleckstrinhomology domain (PH domain)"
"PF00171","1ag8","Alpha and beta proteins (a/b)","ALDHlike","ALDHlike","ALDHlike"
"PF00174","1sox","Alpha and beta proteins (a+b)","Cytochrome blike heme/steroid binding domain","Cytochrome blike heme/steroid binding domain","Cytochrome b"
"PF00175","2cnd","Alpha and beta proteins (a/b)","Ferredoxin reductaselike Cterminal NADPlinked domain","Ferredoxin reductaselike Cterminal NADPlinked domain","Reductases"
"PF00177","1rss","All alpha proteins","Ribosomal protein S7","Ribosomal protein S7","Ribosomal protein S7"
"PF00180","1hex","Alpha and beta proteins (a/b)","Isocitrate/Isopropylmalate dehydrogenaselike","Isocitrate/Isopropylmalate dehydrogenaselike","Dimeric isocitrate & isopropylmalate dehydrogenases"
"PF00181","1rl2","All beta proteins","OBfold","Nucleic acidbinding proteins","Cold shock DNAbinding domainlike"
"PF00182","2baa","Alpha and beta proteins (a+b)","Lysozymelike","Lysozymelike","Family  glycosidase"
"PF00183","1ah6","Alpha and beta proteins (a+b)","ATPase domain of HSP chaperone/DNA topoisomerase II/histidine kinase","ATPase domain of HSP chaperone/DNA topoisomerase II/histidine kinase","Heat shock protein  HSP Nterminal domain"
"PF00185","1raa","Alpha and beta proteins (a+b)","Ferredoxinlike","Aspartate carbamoyltransferase Regulatorychain Nterminal domain","Aspartate carbamoyltransferase Regulatorychain Nterminal domain"
"PF00186","1dhi","Alpha and beta proteins (a/b)","Dihydrofolate reductaselike","Dihydrofolate reductaselike","Dihydrofolate reductases"
"PF00189","1n32","All alpha proteins","6 S13-like H2TH domain","1 S13-like H2TH domain","1 Ribosomal protein S13"
"PF00190","2phl","All beta proteins","Double-stranded beta-helix","RmlC-like cupins","Germin/Seed storage 7S protein"
"PF00191","2ran","All alpha proteins","Annexin","Annexin","Annexin"
"PF00194","1can","All beta proteins","Carbonic anhydrase","Carbonic anhydrase","Carbonic anhydrase"
"PF00195","1cml","Alpha and beta proteins (a/b)","Thiolaselike","Thiolaselike","Chalcone synthaselike"
"PF00196","1rnl","All alpha proteins","DNA/RNA-binding 3-helical bundle","C-terminal effector domain of the bipartite response regulators","GerE-like (LuxR/UhpA family of transcriptional regulators)"
"PF00197","1tie","All beta proteins","betaTrefoil","STIlike","Kunitz (STI) inhibitors"
"PF00198","1eaa","Alpha and beta proteins (a/b)","CoAdependent acyltransferases","CoAdependent acyltransferases","CATlike"
"PF00202","1dgd","Alpha and beta proteins (a/b)","PLPdependent transferaselike","PLPdependent transferases","GABAaminotransferaselike"
"PF00203","1qkh","Alpha and beta proteins (a+b)","Ribosomal protein S","Ribosomal protein S","Ribosomal protein S"
"PF00204","1bgw","Multidomain proteins (alpha and beta)","Type II DNA topoisomerase","Type II DNA topoisomerase","Type II DNA topoisomerase"
"PF00205","1pox","Alpha and beta proteins (a/b)","DHSlike NAD/FADbinding domain","DHSlike NAD/FADbinding domain","Pyruvate oxidase and decarboxylase middle domain"
"PF00206","1jsw","All alpha proteins","7 L-aspartase-like","1 L-aspartase-like","1 L-aspartase/fumarase"
"PF00207","1c3d","All alpha proteins","2 alpha/alpha toroid","4 Terpenoid cyclases/Protein prenyltransferases","4 Complement components"
"PF00208","1leh","Alpha and beta proteins (a/b)","NAD(P)binding Rossmannfold domains","NAD(P)binding Rossmannfold domains","Aminoacid dehydrogenaselike Cterminal domain"
"PF00210","1fha","All alpha proteins","Ferritinlike","Ferritinlike","Ferritin"
"PF00211","1azs","All alpha proteins","Transducin (alpha subunit) insertion domain","Transducin (alpha subunit) insertion domain","Transducin (alpha subunit) insertion domain"
"PF00213","1abv","All alpha proteins","ATPD Nterminal domainlike","Nterminal domain of the delta subunit of the FFATP synthase","Nterminal domain of the delta subunit of the FFATP synthase"
"PF00215","1eix","Alpha and beta proteins (a/b)","TIM beta/alpha-barrel","Ribulose-phoshate binding barrel","Decarboxylase"
"PF00216","1hue","All alpha proteins","IHFlike DNAbinding proteins","IHFlike DNAbinding proteins","Prokaryotic DNAbending protein"
"PF00217","1crk","All alpha proteins","Guanido kinase N-terminal domain","Guanido kinase N-terminal domain","Guanido kinase N-terminal domain"
"PF00218","1pii","Alpha and beta proteins (a/b)","TIM beta/alpha-barrel","Ribulose-phoshate binding barrel","Tryptophan biosynthesis enzymes"
"PF00221","1b8f","All alpha proteins","Laspartaselike","Laspartaselike","HAL/PALlike"
"PF00223","1jb0","Alpha and beta proteins (a+b)","Ferredoxinlike","FeS ferredoxins","Fe ferredoxin"
"PF00224","1pkn","Alpha and beta proteins (a/b)","TIM beta/alpha-barrel","Phosphoenolpyruvate/pyruvate domain","Pyruvate kinase"
"PF00225","2kin","Alpha and beta proteins (a/b)","Ploop containing nucleoside triphosphate hydrolases","Ploop containing nucleoside triphosphate hydrolases","Motor proteins"
"PF00226","1xbl","All alpha proteins","Long alpha-hairpin","Chaperone J-domain","Chaperone J-domain"
"PF00227","1pma","Alpha and beta proteins (a+b)","Ntn hydrolaselike","Nterminal nucleophile aminohydrolases (Ntn hydrolases)","Proteasome subunits"
"PF00229","1tnf","All beta proteins","TNFlike","TNFlike","TNFlike"
"PF00231","1bmf","Alpha and beta proteins (a/b)","Ploop containing nucleoside triphosphate hydrolases","Ploop containing nucleoside triphosphate hydrolases","RecA proteinlike (ATPasedomain)"
"PF00232","1cbg","Alpha and beta proteins (a/b)","TIM beta/alpha-barrel","(Trans)glycosidases","Family 1 of glycosyl hydrolase"
"PF00233","1f0j","All alpha proteins","1 HD-domain/PDEase-like","1 HD-domain/PDEase-like","2 PDEase"
"PF00234","1bip","All alpha proteins","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin","Proteinase/alpha-amylase inhibitors"
"PF00237","1bxe","Alpha and beta proteins (a+b)","Ribosomal protein L","Ribosomal protein L","Ribosomal protein L"
"PF00239","1hcr","All alpha proteins","DNA/RNA-binding 3-helical bundle","Homeodomain-like","Recombinase DNA-binding domain"
"PF00240","1aar","Alpha and beta proteins (a+b)","betaGrasp (ubiquitinlike)","Ubiquitinlike","Ubiquitinrelated"
"PF00241","2prf","Alpha and beta proteins (a+b)","Profilinlike","Profilin (actinbinding protein)","Profilin (actinbinding protein)"
"PF00244","1a4o","All alpha proteins","8 alpha-alpha superhelix","7 14-3-3 protein","1 14-3-3 protein"
"PF00245","1alk","Alpha and beta proteins (a/b)","Alkaline phosphataselike","Alkaline phosphataselike","Alkaline phosphatase"
"PF00246","1cbx","Alpha and beta proteins (a/b)","Phosphorylase/hydrolaselike","Zndependent exopeptidases","Pancreatic carboxypeptidases"
"PF00248","1ads","Alpha and beta proteins (a/b)","TIM beta/alphabarrel","NAD(P)linked oxidoreductase","Aldoketo reductases (NADP)"
"PF00249","1msf","All alpha proteins","DNA/RNAbinding helical bundle","Homeodomainlike","Myb/SANT domain"
"PF00250","2hfh","All alpha proteins","DNA/RNA-binding 3-helical bundle","""Winged helix"" DNA-binding domain","Forkhead DNA-binding domain"
"PF00252","1q7y","All alpha proteins","Long alphahairpin","Ribosomal protein L (Lp)","Ribosomal protein L (Lp)"
"PF00253","1fjg","Alpha and beta proteins (a/b)","Flavodoxinlike","Ribosomal protein S","Ribosomal protein S"
"PF00254","1fkb","Alpha and beta proteins (a+b)","FKBPlike","FKBPlike","FKBP immunophilin/proline isomerase"
"PF00255","1gp1","Alpha and beta proteins (a/b)","Thioredoxin fold","Thioredoxinlike","Glutathione peroxidaselike"
"PF00258","1ofv","Alpha and beta proteins (a/b)","Flavodoxinlike","Flavoproteins","Flavodoxinrelated"
"PF00262","1jhn","All beta proteins","Pdomain of calnexin/calreticulin","Pdomain of calnexin/calreticulin","Pdomain of calnexin/calreticulin"
"PF00266","1bjo","Alpha and beta proteins (a/b)","PLPdependent transferaselike","PLPdependent transferases","GABAaminotransferaselike"
"PF00268","1rib","All alpha proteins","Ferritin-like","Ferritin-like","Ribonucleotide reductase-like"
"PF00270","1qva","Alpha and beta proteins (a/b)","Ploop containing nucleoside triphosphate hydrolases","Ploop containing nucleoside triphosphate hydrolases","Tandem AAAATPase domain"
"PF00271","1d2m","Alpha and beta proteins (a/b)","Ploop containing nucleoside triphosphate hydrolases","Ploop containing nucleoside triphosphate hydrolases","Tandem AAAATPase domain"
"PF00273","1ao6","All alpha proteins","Serum albuminlike","Serum albuminlike","Serum albuminlike"
"PF00274","1ald","Alpha and beta proteins (a/b)","TIM beta/alphabarrel","Aldolase","Class I aldolase"
"PF00275","1eps","Alpha and beta proteins (a+b)","IFlike","EPT/RTPClike","Enolpyruvate transferase EPT"
"PF00276","1m90","All alpha proteins","Long alphahairpin","Ribosomal protein L (Lp)","Ribosomal protein L (Lp)"
"PF00278","1qu4","Alpha and beta proteins (a/b)","TIM beta/alphabarrel","PLPbinding barrel","Alanine racemaselike Nterminal domain"
"PF00280","1tin","Alpha and beta proteins (a+b)","CI family of serine protease inhibitors","CI family of serine protease inhibitors","CI family of serine protease inhibitors"
"PF00281","1m90","All alpha proteins","Long alphahairpin","Ribosomal protein L (Lp)","Ribosomal protein L (Lp)"
"PF00282","1js3","Alpha and beta proteins (a/b)","PLPdependent transferaselike","PLPdependent transferases","Pyridoxaldependent decarboxylase"
"PF00285","1csc","All alpha proteins","3 Citrate synthase","1 Citrate synthase","1 Citrate synthase"
"PF00288","1fwl","Alpha and beta proteins (a+b)","Ribosomal protein S domain like","Ribosomal protein S domain like","GHMP Kinase Nterminal domain"
"PF00289","1bnc","All beta proteins","Barrelsandwich hybrid","Rudiment single hybrid motif","BC Cterminal domainlike"
"PF00291","1tdj","Alpha and beta proteins (a+b)","Ferredoxinlike","ACTlike","Allosteric threonine deaminase Cterminal domain"
"PF00292","1pdn","All alpha proteins","DNA/RNAbinding helical bundle","Homeodomainlike","Paired domain"
"PF00294","1rkd","Alpha and beta proteins (a/b)","Ribokinaselike","Ribokinaselike","Ribokinaselike"
"PF00295","1rmg","All beta proteins","Singlestranded righthanded betahelix","Pectin lyaselike","Galacturonase"
"PF00296","1nfp","Alpha and beta proteins (a/b)","TIM beta/alpha-barrel","Bacterial luciferase-like","Non-fluorescent flavoprotein (luxF FP390)"
"PF00297","1m90","All alpha proteins","Long alphahairpin","Ribosomal protein L (Lp)","Ribosomal protein L (Lp)"
"PF00298","1fow","All alpha proteins","DNA/RNAbinding helical bundle","Ribosomal protein L Cterminal domain","Ribosomal protein L Cterminal domain"
"PF00300","5pgm","Alpha and beta proteins (a/b)","Phosphoglycerate mutaselike","Phosphoglycerate mutaselike","Cofactordependent phosphoglycerate mutase"
"PF00302","3cla","Alpha and beta proteins (a/b)","CoAdependent acyltransferases","CoAdependent acyltransferases","CATlike"
"PF00303","1tys","Alpha and beta proteins (a+b)","Thymidylate synthase/dCMP hydroxymethylase","Thymidylate synthase/dCMP hydroxymethylase","Thymidylate synthase/dCMP hydroxymethylase"
"PF00305","2sbl","All alpha proteins","Lipoxigenase","Lipoxigenase","Plant lipoxigenases"
"PF00306","1bmf","Alpha and beta proteins (a/b)","Ploop containing nucleoside triphosphate hydrolases","Ploop containing nucleoside triphosphate hydrolases","RecA proteinlike (ATPasedomain)"
"PF00307","1aoa","All alpha proteins","CH domain-like","Calponin-homology domain CH-domain","Calponin-homology domain CH-domain"
"PF00308","1j1v","All alpha proteins","DNA/RNA-binding 3-helical bundle","TrpR-like","Chromosomal replication initiation factor DnaA C-terminal domain IV"
"PF00310","1ea0","All beta proteins","Single-stranded right-handed beta-helix","Alpha subunit of glutamate synthase C-terminal domain","Alpha subunit of glutamate synthase C-terminal domain"
"PF00311","1fiy","Alpha and beta proteins (a/b)","TIM beta/alphabarrel","Phosphoenolpyruvate/pyruvate domain","Phosphoenolpyruvate carboxylase"
"PF00312","1a32","All alpha proteins","S15/NS1 RNA-binding domain","S15/NS1 RNA-binding domain","Ribosomal protein S15"
"PF00314","1thu","All beta proteins","Osmotin thaumatinlike protein","Osmotin thaumatinlike protein","Osmotin thaumatinlike protein"
"PF00316","1frp","Multidomain proteins (alpha and beta)","Carbohydrate phosphatase","Carbohydrate phosphatase","Inositol monophosphatase/fructosebisphosphataselike"
"PF00317","1rlr","All alpha proteins","R1 subunit of ribonucleotide reductase N-terminal domain","R1 subunit of ribonucleotide reductase N-terminal domain","R1 subunit of ribonucleotide reductase N-terminal domain"
"PF00318","1n32","All alpha proteins","6 S13-like H2TH domain","1 S13-like H2TH domain","1 Ribosomal protein S13"
"PF00319","1srs","Alpha and beta proteins (a+b)","SRFlike","SRFlike","SRFlike"
"PF00321","1cnb","All beta proteins","Carbonic anhydrase","Carbonic anhydrase","Carbonic anhydrase"
"PF00325","1cgp","All alpha proteins","DNA/RNAbinding helical bundle","""Winged helix"" DNAbinding domain","CAP Cterminal domainlike"
"PF00326","1qfs","All beta proteins","bladed betapropeller","Peptidase/esterase gauge domain","Prolyl oligopeptidase Nterminal domain"
"PF00327","1bxy","Alpha and beta proteins (a+b)","Ribosomal protein Lp/Le","Ribosomal protein Lp/Le","Ribosomal protein Lp/Le"
"PF00328","1rpa","Alpha and beta proteins (a/b)","Phosphoglycerate mutaselike","Phosphoglycerate mutaselike","Histidine acid phosphatase"
"PF00330","1aco","Alpha and beta proteins (a/b)","The ""swivelling"" beta/beta/alpha domain","LeuD/IlvD-like","LeuD-like"
"PF00331","2exo","Alpha and beta proteins (a/b)","TIM beta/alphabarrel","(Trans)glycosidases","betaglycanases"
"PF00332","1ghs","Alpha and beta proteins (a/b)","TIM beta/alpha-barrel","(Trans)glycosidases","beta-glycanases"
"PF00333","1pkp","Alpha and beta proteins (a+b)","Ribosomal protein S domain like","Ribosomal protein S domain like","Translational machinery components"
